Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,78.87000274658203,79.41000366210938,78.51000213623047,79.27999877929688,59.62741470336914,8421200
2014-07-02,79.55999755859375,79.86000061035156,79.44000244140625,79.55999755859375,59.8380241394043,6276600
2014-07-03,79.93000030517578,80.13999938964844,79.63999938964844,79.9800033569336,60.15388107299805,5501100
2014-07-07,79.75,80.19999694824219,79.66000366210938,80.19000244140625,60.31185531616211,6673600
2014-07-08,80.02999877929688,80.8499984741211,79.91000366210938,80.55999755859375,60.59009552001953,9150200
2014-07-09,80.66000366210938,81.80000305175781,80.5,81.66999816894531,61.42495346069336,12113100
2014-07-10,81.2699966430664,81.91000366210938,81.19000244140625,81.61000061035156,61.379825592041016,8786500
2014-07-11,81.05999755859375,81.56999969482422,81.0,81.16000366210938,61.0413932800293,7519300
2014-07-14,81.36000061035156,81.73999786376953,81.30000305175781,81.31999969482422,61.1617317199707,6802000
2014-07-15,81.51000213623047,81.5199966430664,81.08999633789062,81.26000213623047,61.11659622192383,9637600
2014-07-16,80.9000015258789,81.19999694824219,80.75,80.94000244140625,61.362239837646484,8940500
2014-07-17,80.98999786376953,81.22000122070312,80.38999938964844,80.4000015258789,60.95284652709961,5844700
2014-07-18,80.55000305175781,80.75,80.16000366210938,80.55000305175781,61.06655502319336,6502400
2014-07-21,80.33000183105469,80.4000015258789,79.94999694824219,80.27999877929688,60.86188507080078,4434300
2014-07-22,80.29000091552734,80.58000183105469,79.7699966430664,80.0999984741211,60.725399017333984,6073200
2014-07-23,80.33000183105469,80.5,79.81999969482422,79.98999786376953,60.64202880859375,5891200
2014-07-24,80.12000274658203,80.31999969482422,79.8499984741211,80.26000213623047,60.8466911315918,6273100
2014-07-25,80.0199966430664,80.16000366210938,79.37000274658203,79.55999755859375,60.316036224365234,6293400
2014-07-28,79.41000366210938,79.62000274658203,78.8499984741211,79.26000213623047,60.088592529296875,6757300
2014-07-29,79.08999633789062,79.5,78.6500015258789,78.6500015258789,59.626121520996094,6419600
2014-07-30,78.69999694824219,79.01000213623047,78.13999938964844,78.16000366210938,59.25465774536133,8296500
2014-07-31,77.76000213623047,78.01000213623047,77.29000091552734,77.31999969482422,58.61784362792969,11235600
2014-08-01,79.25,80.66999816894531,78.83000183105469,79.6500015258789,60.3842658996582,18110700
2014-08-04,79.45999908447266,79.45999908447266,78.66000366210938,79.22000122070312,60.05826950073242,12075300
2014-08-05,78.98999786376953,79.73999786376953,78.9800033569336,79.41000366210938,60.20230484008789,7995900
2014-08-06,79.4000015258789,81.30000305175781,79.2699966430664,81.08999633789062,61.47595977783203,12839000
2014-08-07,81.0199966430664,81.18000030517578,80.01000213623047,80.13999938964844,60.75571823120117,7904000
